Name,Type,Address,Longitude,Latitude
三亚湾(地铁站),交通设施服务;地铁站;地铁站,10号线,106.584785,29.638338
王家庄(地铁站),交通设施服务;地铁站;地铁站,10号线;国博线,106.545659,29.743497
寸滩(地铁站),交通设施服务;地铁站;地铁站,4号线,106.606153,29.621815
兴科大道(地铁站),交通设施服务;地铁站;地铁站,9号线,106.603570,29.687725
凤鸣山(地铁站),交通设施服务;地铁站;地铁站,环线,106.449365,29.524457
大礼堂(地铁站),交通设施服务;地铁站;地铁站,10号线,106.555675,29.561744
宝圣湖(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;9号线,106.609487,29.677931
金建路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.442085,29.442537
长河(地铁站),交通设施服务;地铁站;地铁站,10号线,106.629425,29.674056
和睦路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.533455,29.629680
大溪沟(地铁站),交通设施服务;地铁站;地铁站,2号线,106.558397,29.566175
建桥(地铁站),交通设施服务;地铁站;地铁站,2号线,106.474727,29.449940
溉澜溪(地铁站),交通设施服务;地铁站;地铁站,9号线,106.571631,29.594365
大堰村(地铁站),交通设施服务;地铁站;地铁站,2号线,106.499192,29.499619
园博中心(地铁站),交通设施服务;地铁站;地铁站,5号线,106.560443,29.675290
空港广场(地铁站),交通设施服务;地铁站;地铁站,空港线,106.633616,29.736328
高义口(地铁站),交通设施服务;地铁站;地铁站,国博线,106.527902,29.702776
民心佳园(地铁站),交通设施服务;地铁站;地铁站,10号线,106.567621,29.626609
石新路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.477473,29.525708
彩云湖(地铁站),交通设施服务;地铁站;地铁站,环线,106.471832,29.516037
白居寺(地铁站),交通设施服务;地铁站;地铁站,18号线;2号线,106.492919,29.416285
华龙(地铁站),交通设施服务;地铁站;地铁站,环线,106.453159,29.495547
兰花路(地铁站),交通设施服务;地铁站;地铁站,10号线,106.557704,29.504302
凤西路(地铁站),交通设施服务;地铁站;地铁站,5号线,106.454300,29.513705
刘家院子(地铁站),交通设施服务;地铁站;地铁站,国博线,106.554491,29.781874
江津高铁(地铁站),交通设施服务;地铁站;地铁站,江跳线,106.256836,29.342872
复盛(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;4号线,106.800456,29.656067
蚂蝗梁(地铁站),交通设施服务;地铁站;地铁站,9号线,106.525285,29.569830
金家湾(地铁站),交通设施服务;地铁站;地铁站,2号线,106.475526,29.437798
大江(地铁站),交通设施服务;地铁站;地铁站,2号线,106.501082,29.384138
春华大道(地铁站),交通设施服务;地铁站;地铁站,9号线,106.599731,29.706369
富华路(地铁站),交通设施服务;地铁站;地铁站,(在建)18号线渝中延伸段;18号线;9号线,106.504105,29.550922
江北机场T2航站楼(地铁站),交通设施服务;地铁站;地铁站,10号线;3号线,106.638292,29.718703
李家沱大桥(地铁站),交通设施服务;地铁站;地铁站,18号线,106.527803,29.468794
高滩岩(地铁站),交通设施服务;地铁站;地铁站,9号线,106.449715,29.539442
麒龙(地铁站),交通设施服务;地铁站;地铁站,3号线,106.562563,29.466957
童家院子(地铁站),交通设施服务;地铁站;地铁站,3号线,106.555093,29.628394
动步公园(地铁站),交通设施服务;地铁站;地铁站,环线,106.505348,29.603940
重庆图书馆(地铁站),交通设施服务;地铁站;地铁站,环线,106.455786,29.532534
西南大学(地铁站),交通设施服务;地铁站;地铁站,6号线,106.423756,29.816263
重庆大学(地铁站),交通设施服务;地铁站;地铁站,环线,106.463616,29.568332
花石沟(地铁站),交通设施服务;地铁站;地铁站,9号线,106.590309,29.752678
石船(地铁站),交通设施服务;地铁站;地铁站,4号线,106.833681,29.759476
享堂(地铁站),交通设施服务;地铁站;地铁站,江跳线,106.261625,29.381534
高石塔(地铁站),交通设施服务;地铁站;地铁站,4号线,106.802914,29.711129
欢乐谷(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;国博线,106.508855,29.669116
